year	month	temp
1901	0	24.6
1901	1	25.3
1901	2	25.2
1901	3	25.3
1901	4	25.3
1901	5	23.9
1901	6	23.1
1901	7	23.4
1901	8	24.1
1901	9	24.6
1901	10	24.5
1901	11	24.5
1902	0	24.7
1902	1	25.0
1902	2	25.3
1902	3	25.2
1902	4	25.3
1902	5	23.9
1902	6	23.1
1902	7	23.6
1902	8	24.1
1902	9	24.6
1902	10	24.5
1902	11	24.5
1903	0	24.9
1903	1	25.4
1903	2	25.8
1903	3	25.5
1903	4	25.2
1903	5	23.6
1903	6	23.1
1903	7	23.5
1903	8	24.1
1903	9	24.6
1903	10	24.5
1903	11	24.5
1904	0	24.7
1904	1	25.1
1904	2	25.3
1904	3	25.2
1904	4	25.1
1904	5	23.8
1904	6	23.1
1904	7	23.1
1904	8	24.1
1904	9	24.6
1904	10	24.5
1904	11	24.5
1905	0	24.9
1905	1	25.5
1905	2	25.9
1905	3	25.7
1905	4	25.4
1905	5	23.7
1905	6	23.1
1905	7	23.6
1905	8	24.1
1905	9	24.6
1905	10	24.5
1905	11	24.5
1906	0	24.6
1906	1	25.3
1906	2	25.7
1906	3	26.0
1906	4	25.2
1906	5	23.8
1906	6	23.1
1906	7	23.4
1906	8	24.1
1906	9	24.6
1906	10	24.5
1906	11	24.5
1907	0	24.6
1907	1	25.4
1907	2	25.5
1907	3	25.4
1907	4	25.3
1907	5	23.8
1907	6	23.1
1907	7	23.8
1907	8	24.1
1907	9	24.6
1907	10	24.5
1907	11	24.5
1908	0	24.6
1908	1	25.1
1908	2	25.5
1908	3	25.5
1908	4	25.3
1908	5	23.4
1908	6	23.1
1908	7	22.9
1908	8	24.1
1908	9	24.6
1908	10	24.5
1908	11	24.5
1909	0	24.7
1909	1	25.4
1909	2	25.6
1909	3	25.7
1909	4	25.3
1909	5	24.4
1909	6	23.1
1909	7	24.0
1909	8	24.1
1909	9	24.6
1909	10	24.5
1909	11	24.5
1910	0	24.4
1910	1	25.0
1910	2	25.1
1910	3	25.0
1910	4	25.0
1910	5	24.2
1910	6	23.1
1910	7	23.4
1910	8	24.1
1910	9	24.6
1910	10	24.5
1910	11	24.5
1911	0	24.5
1911	1	25.1
1911	2	25.8
1911	3	25.7
1911	4	25.4
1911	5	24.1
1911	6	23.1
1911	7	23.5
1911	8	24.1
1911	9	24.6
1911	10	24.5
1911	11	24.5
1912	0	24.8
1912	1	25.7
1912	2	26.1
1912	3	25.9
1912	4	25.6
1912	5	24.4
1912	6	23.1
1912	7	23.7
1912	8	24.1
1912	9	24.6
1912	10	24.5
1912	11	24.5
1913	0	24.6
1913	1	25.0
1913	2	25.3
1913	3	25.4
1913	4	25.1
1913	5	23.5
1913	6	23.1
1913	7	23.4
1913	8	24.1
1913	9	24.6
1913	10	24.5
1913	11	24.5
1914	0	25.0
1914	1	25.4
1914	2	25.9
1914	3	25.6
1914	4	25.4
1914	5	23.7
1914	6	23.1
1914	7	23.4
1914	8	24.1
1914	9	24.6
1914	10	24.5
1914	11	24.5
1915	0	24.7
1915	1	25.4
1915	2	25.6
1915	3	25.6
1915	4	25.3
1915	5	23.9
1915	6	23.1
1915	7	23.4
1915	8	24.1
1915	9	24.6
1915	10	24.5
1915	11	24.5
1916	0	24.7
1916	1	25.4
1916	2	25.6
1916	3	25.3
1916	4	25.3
1916	5	23.9
1916	6	23.1
1916	7	23.4
1916	8	24.1
1916	9	24.6
1916	10	24.5
1916	11	24.5
1917	0	24.7
1917	1	25.4
1917	2	25.5
1917	3	25.5
1917	4	25.3
1917	5	23.9
1917	6	23.1
1917	7	23.4
1917	8	24.1
1917	9	24.6
1917	10	24.5
1917	11	24.5
1918	0	24.7
1918	1	25.4
1918	2	25.7
1918	3	25.4
1918	4	25.3
1918	5	23.9
1918	6	23.1
1918	7	23.4
1918	8	24.1
1918	9	24.6
1918	10	24.5
1918	11	24.5
1919	0	24.7
1919	1	25.4
1919	2	25.7
1919	3	25.7
1919	4	25.3
1919	5	23.9
1919	6	23.1
1919	7	23.4
1919	8	24.1
1919	9	24.6
1919	10	24.5
1919	11	24.5
1920	0	24.7
1920	1	25.4
1920	2	25.7
1920	3	25.3
1920	4	25.3
1920	5	23.9
1920	6	23.1
1920	7	23.4
1920	8	24.1
1920	9	24.6
1920	10	24.5
1920	11	24.5
1921	0	24.7
1921	1	25.4
1921	2	25.6
1921	3	25.5
1921	4	25.3
1921	5	23.9
1921	6	23.1
1921	7	23.4
1921	8	24.1
1921	9	24.6
1921	10	24.5
1921	11	24.5
1922	0	24.7
1922	1	25.4
1922	2	25.5
1922	3	25.5
1922	4	25.3
1922	5	23.9
1922	6	23.1
1922	7	23.4
1922	8	24.1
1922	9	24.6
1922	10	24.5
1922	11	24.5
1923	0	24.7
1923	1	25.4
1923	2	25.5
1923	3	25.5
1923	4	25.3
1923	5	23.9
1923	6	23.1
1923	7	23.4
1923	8	24.1
1923	9	24.6
1923	10	24.5
1923	11	24.5
1924	0	24.7
1924	1	25.4
1924	2	25.4
1924	3	25.5
1924	4	25.3
1924	5	23.9
1924	6	23.1
1924	7	23.4
1924	8	24.1
1924	9	24.6
1924	10	24.5
1924	11	24.5
1925	0	24.7
1925	1	25.4
1925	2	25.4
1925	3	25.4
1925	4	25.3
1925	5	23.9
1925	6	23.1
1925	7	23.4
1925	8	24.1
1925	9	24.6
1925	10	24.5
1925	11	24.5
1926	0	24.7
1926	1	25.4
1926	2	25.6
1926	3	25.6
1926	4	25.3
1926	5	23.9
1926	6	23.1
1926	7	23.4
1926	8	24.1
1926	9	24.6
1926	10	24.5
1926	11	24.5
1927	0	24.7
1927	1	25.4
1927	2	25.5
1927	3	25.5
1927	4	25.3
1927	5	23.9
1927	6	23.1
1927	7	23.4
1927	8	24.1
1927	9	24.6
1927	10	24.5
1927	11	24.5
1928	0	24.7
1928	1	25.4
1928	2	25.4
1928	3	25.5
1928	4	25.3
1928	5	23.9
1928	6	23.1
1928	7	23.4
1928	8	24.1
1928	9	24.6
1928	10	24.5
1928	11	24.5
1929	0	24.7
1929	1	25.4
1929	2	25.4
1929	3	25.4
1929	4	25.3
1929	5	23.9
1929	6	23.1
1929	7	23.4
1929	8	24.1
1929	9	24.6
1929	10	24.5
1929	11	24.5
1930	0	24.7
1930	1	25.4
1930	2	25.7
1930	3	25.3
1930	4	25.3
1930	5	23.9
1930	6	23.1
1930	7	23.4
1930	8	24.1
1930	9	24.6
1930	10	24.5
1930	11	24.5
1931	0	24.7
1931	1	25.4
1931	2	25.7
1931	3	25.5
1931	4	25.3
1931	5	23.9
1931	6	23.1
1931	7	23.4
1931	8	24.1
1931	9	24.6
1931	10	24.5
1931	11	24.5
1932	0	24.7
1932	1	25.4
1932	2	25.7
1932	3	25.7
1932	4	25.3
1932	5	23.9
1932	6	23.1
1932	7	23.4
1932	8	24.1
1932	9	24.6
1932	10	24.5
1932	11	24.5
1933	0	24.7
1933	1	25.4
1933	2	25.9
1933	3	25.6
1933	4	25.3
1933	5	23.9
1933	6	23.1
1933	7	23.4
1933	8	24.1
1933	9	24.6
1933	10	24.5
1933	11	24.5
1934	0	24.7
1934	1	25.4
1934	2	25.7
1934	3	25.6
1934	4	25.3
1934	5	23.9
1934	6	23.1
1934	7	23.4
1934	8	24.1
1934	9	24.6
1934	10	24.5
1934	11	24.5
1935	0	24.7
1935	1	25.4
1935	2	25.6
1935	3	25.5
1935	4	25.3
1935	5	23.9
1935	6	23.1
1935	7	23.4
1935	8	24.1
1935	9	24.6
1935	10	24.5
1935	11	24.5
1936	0	24.7
1936	1	25.4
1936	2	25.5
1936	3	25.4
1936	4	25.3
1936	5	23.9
1936	6	23.1
1936	7	23.4
1936	8	24.1
1936	9	24.6
