id	name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
AZE	Azerbaijan	24.0756	24.8282	26.0581	27.9456	29.7201	31.5272	33.2943	34.814	35.792	37.2751	39.2062	41.6137	43.792	45.651	47.3994	49.834	51.7515	53.5109	55.3467	55.803	57.9982	56.9002	57.9759	58.805	59.3325	63.9894	64.1605	66.8619	68.6972	67.2544	63.053	60.8003	56.1758	48.4083	41.9466	33.3111	31.2416	29.8039	31.665	28.5702	29.5063	28.7927	29.6418	30.6267	32.0782	34.2864	39.1085	30.4583	35.4506	31.8566	30.6329	33.3966	35.4969	35.58	37.4144	40.2414	39.6883	38.2097
BHS	"Bahamas, The"	0.41037	0.54594	0.72547	0.70715	1.0845	1.3154	1.0919	1.701	1.6277	1.7408	2.5688	6.7237	6.4813	7.8627	7.3798	8.2461	6.4574	9.7087	6.597	6.9157	7.9721	2.7984	2.2585	2.0144	1.854	1.5096	1.4106	1.4216	1.5389	1.9456	1.9492	1.7807	1.7917	1.7001	1.6854	1.6818	1.6671	1.363	1.6781	1.6744	1.6671	1.5682	1.5755	1.5169	1.7221	1.7404	1.6635	1.6891	1.4949	1.6415	1.6525	1.865	1.9676	2.7993	2.4146	2.5165	2.5653	2.5644
163	Bahrain	0.57525	1.7697	1.5902	1.1945	1.5975	1.2274	0.64853	1.0039	1.1029	1.2714	2.5904	3.0375	3.6787	5.518	5.4007	5.7488	6.5696	7.4636	7.7604	8.1268	7.8813	8.5188	9.8305	8.222	9.2003	10.1859	11.003	11.4207	12.1426	11.7167	12.4054	11.8553	10.8738	14.6098	14.7556	14.7871	15.5896	17.2877	18.3655	17.9881	18.6179	13.9053	15.6772	16.4372	17.4391	19.1325	18.7569	26.7701	29.6824	28.0975	29.0748	28.4388	26.4482	31.0839	31.089	32.8469	34.2651	34.4557
BGD	Bangladesh	2.2119	2.2904	2.5168	2.8932	2.9746	3.1213	3.1763	3.3711	3.8657	3.7493	3.8032	3.6061	3.5064	4.5506	4.6566	4.8651	5.5641	5.8026	6.0054	6.634	7.621	7.9118	8.5777	8.2138	9.1008	10.2112	11.4337	11.8303	13.5103	13.4163	15.49	15.9026	17.7088	17.3679	18.928	22.7714	23.9496	24.948	23.9111	25.0174	27.5049	31.9439	33.1854	35.1406	37.1619	38.9159	42.9557	43.7664	48.3076	52.2926	58.2818	61.5975	65.6025	67.7065	71.1457	83.5008	85.2536	88.0575
180	Barbados	0.17221	0.19419	0.26014	0.19053	0.17954	0.20518	0.26747	0.33709	0.43968	0.47998	0.42869	0.48365	0.50197	0.47998	0.49098	0.56792	0.53128	0.5899	0.63021	0.6009	0.67418	0.68517	0.64486	0.68517	0.74133	0.83628	0.90607	0.9305	0.93459	0.97595	1.0603	1.1921	0.96632	1.1098	0.74188	0.82296	0.84233	0.8889	1.1212	1.1912	1.168	1.2013	1.2038	1.2414	1.266	1.3223	1.3393	1.3344	1.589	1.5893	1.4526	1.5042	1.4499	1.4295	1.2535	1.3009	1.3247	1.3227
BLR	Belarus	37.4192	38.5886	40.4998	43.4334	46.1914	48.9997	51.7457	54.1075	55.6275	57.9325	60.9336	64.663	68.035	70.9088	73.6089	77.3727	80.3281	83.0363	85.8664	86.5579	89.9443	88.2142	89.8732	91.1329	91.9281	99.1444	99.3775	103.5477	106.3715	104.1029	104.1347	97.0401	89.9904	77.6156	64.373	57.9475	59.2023	62.5458	59.4078	56.9912	55.458	55.5603	55.6772	57.1123	60.7672	62.0494	64.8616	64.2639	66.3901	61.9378	63.8624	62.7727	63.6748	64.4237	63.78	58.9658	60.5092	61.3718
BEL	Belgium	90.9081	92.6983	98.0183	105.6764	103.554	105.3308	105.0967	107.361	118.4376	123.4918	125.4905	121.3706	130.6378	138.6394	134.9504	121.8234	129.6781	126.1999	135.451	139.7873	134.8367	123.5745	117.1028	101.2027	104.9675	104.0054	102.3678	102.5898	99.7441	106.7936	120.4844	123.5447	122.6578	121.5573	124.9382	126.083	129.5836	124.0468	130.2851	124.7457	126.7948	126.129	126.4446	127.9532	129.0409	125.6382	124.0309	120.6114	120.659	107.6424	113.582	104.1586	101.395	101.9704	96.391	100.2295	100.2437	100.116
BLZ	Belize	0.043968	0.03664	0.069616	0.062288	0.084272	0.084272	0.080608	0.12091	0.10259	0.13557	0.12091	0.1429	0.15755	0.14656	0.15389	0.17587	0.17587	0.19786	0.21618	0.20885	0.19053	0.1832	0.17221	0.17221	0.17221	0.19053	0.20518	0.22717	0.24915	0.30045	0.31144	0.35907	0.35541	0.37739	0.37373	0.37739	0.30778	0.38838	0.37006	0.34808	0.39571	0.44701	0.43235	0.43235	0.39205	0.42136	0.44334	0.47632	0.43602	0.58624	0.53861	0.6009	0.47632	0.51296	0.49464	0.52226	0.54743	0.56083
BEN	Benin	0.16122	0.12824	0.13557	0.12091	0.1429	0.15022	0.11358	0.1429	0.15389	0.20152	0.28213	0.29312	0.38838	0.38106	0.4067	0.44334	0.26014	0.29678	0.36274	0.3664	0.50746	0.41765	0.47734	0.43965	0.4856	0.72574	0.66543	0.51719	0.53805	0.60965	0.68068	0.79213	0.86494	1.0867	1.2223	1.2736	1.2311	1.1982	1.1944	1.5423	1.574	1.7898	2.0532	2.3276	2.4811	2.3671	3.7113	4.3196	4.2548	4.5079	4.9389	5.1213	5.3055	5.6526	6.1582	6.3503	6.7479	7.5021
201	Bermuda	0.15755	0.17587	0.15755	0.15022	0.20152	0.17954	0.20152	0.21251	0.2235	0.19786	0.22717	0.23083	0.25282	0.42502	0.44334	0.458	0.46899	0.45434	0.42502	0.46166	0.43602	0.38838	0.39571	0.45067	0.44334	0.45067	0.42136	0.57158	0.64486	0.78043	0.50197	0.53861	0.46166	0.53861	0.53128	0.53128	0.52762	0.52395	0.52029	0.51296	0.51662	0.52762	0.55693	0.56059	0.58258	0.58258	0.65219	0.72914	0.64853	0.47632	0.60822	0.44334	0.47632	0.458	0.57525	0.60053	0.61219	0.61208
